Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
"Psychiatric Wellness Care, PLLC",31150003600000010070000000,31150003600000010070000000,1816 Erie Boulevard East,,Syracuse,Onondaga,NY,13210,"By appointment, Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-214-0398,,,,315-214-0390,,2140390@gmail.com,http://www.psychiatricwellnesscare.co.nr/,,"Provides mental health services for individuals ages 18 years and older including medication management as well as counseling for psychiatric disorders.<br /><br />===================<br />Therapist, Counselor, Psychiatrist, PhD, Psychiatric Nurse Practitioner, PNP",Onondaga and Oswego counties,,Individuals ages 18 years and older,Verma: NY 60 172632 (09/18); Ashutosh: NY 60 118520 (11/17); McNally: NY 40 401382 (03/17),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Clinical Psychiatric Evaluation; Psychiatric Disorder Counseling; Psychiatric Medication Services; Adult Psychiatry; General Psychiatry; Geriatric Psychiatry; Psychological Assessment; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Anger Management; Behavior Modification; Cognitive Behavioral Therapy; Geriatric Counseling; Bereavement Counseling; Hoarding Counseling Programs; Mental Health Screening; Psychosocial Therapy; Private Counseling / Therapy; Individual Counseling; Gender Identity Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Psychological Assessment; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Perinatal/Postpartum Depression Counseling;,NY - Oswego County; NY - Onondaga County;,-76.1181668,43.04978267
"Carole Resnick, PhD",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,,Syracuse,Onondaga,NY,13210,"Monday - Friday, 9 AM - 5 PM; by appointment",,,,,,,,,,,,,,,315-425-9802,,,,,"<p> Provides mental health counseling to individuals ages 4 years and older, specializing in Autism Spectrum Disorders.<br /> <br /> =========================<br /> Therapist, Counselor, Psychologist, PhD<br /> </p>",Onondaga and Oswego counties,,Individuals ages 4 years and older,NY 68 008650 (07/17),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Psychological Assessment; Cognitive Behavioral Therapy; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.1181094,43.04508644
"Charles Craigmile, LCSW-R",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,,Syracuse,Onondaga,NY,13210,"Monday - Friday, by appointment; call for availability",,,,,,,,,,,315-695-2069,,,,315-695-6900,,,,,"Provides mental health counseling to individuals ages 13 years and older.<br /><br />===================<br />Therapist, Counselor, Clinical Social Worker, LCSW, Psychotherapist, LCSW-R",Onondaga and Oswego counties,,Individuals ages 13 years and older,NY 73 039542 (09/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Anger Management; Stress Management; Bereavement Counseling; Divorce Counseling; Employment Transition Counseling; Marriage Counseling; Parent Counseling; Suicide Counseling; Veteran Reintegration Counseling; Adolescent/Youth Counseling; Geriatric Counseling; Individual Counseling; Substance Use Disorder Counseling; General Assessment for Substance Use Disorders; Court Ordered DUI Evaluations; Behavior Modification; Cognitive Behavioral Therapy; Rational Emotive Therapy; Private Counseling / Therapy;,NY - Onondaga County; NY - Oswego County;,-76.1181094,43.04508644
"Heather Hay, PhD, LMFT",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,Suite 201,Syracuse,Onondaga,NY,13210,By appointment; call for hours of operation,,,,,,,,,,,,,,,315-409-9790,,,www.drheatherlhay.com,,"Provides mental health counseling to individuals ages 5 years and older.<br /><br />==================<br />Therapist, Counselor, PhD, Marriage and Family Therapist, LMFT",Onondaga and Oswego counties,,Individuals ages 5 years and older,NY 06 000143 (11/17),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Adolescent/Youth Counseling; Geriatric Counseling; Individual Counseling; Family Counseling; Cultural Transition Counseling; Bereavement Counseling; Marriage Counseling; Divorce Counseling; Gender Identity Counseling; Sexual Orientation Counseling; Sexuality Counseling; Parent Counseling; Stress Management; Private Counseling / Therapy; Eating Disorders Treatment; Psychodynamic Therapy; Conjoint Counseling; Premarital Counseling; Health/Disability Related Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling;,NY - Oswego County; NY - Onondaga County;,-76.1181094,43.04508644
"Pamela Percival, PhD",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,,Syracuse,Onondaga,NY,13210,"Monday - Friday, by appointment; call for availability",,,,,,,,,,,,,,,315-475-2215,,,,,"Provides mental health counseling to individuals ages 13 years and older.<br /><br />=====================================<br />Therapist, Counselor, Psychologist, PhD",Onondaga County,,Individuals ages 13 years and older,NY 68 007381 (08/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Individual Counseling; Eating Disorders Treatment; Bereavement Counseling; Anger Management; Stress Management; Divorce Counseling; Marriage Counseling; Cognitive Behavioral Therapy; Psychodynamic Therapy; Private Counseling / Therapy;,NY - Onondaga County;,-76.1181094,43.04508644
"Patricia Demyan, LCSW-R",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,,Syracuse,Onondaga,NY,13210,Evening appointments available; call for options,,,,,,,,,,,,,,,315-475-6337,,,,,"Provides mental health counseling to individuals ages 13 years and older.<br /><br />===============================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist",Onondaga and Oswego counties,,Individuals ages 13 years and older,NY 73 020692 (02/16),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Sexual Assault Counseling; Individual Counseling; Family Counseling; Eating Disorders Treatment; Bereavement Counseling; Marriage Counseling; Stress Management; Anger Management; Divorce Counseling; Employment Transition Counseling; Gender Identity Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Psychodynamic Therapy; Cognitive Behavioral Therapy; Behavior Modification; Private Counseling / Therapy;,NY - Onondaga County; NY - Oswego County;,-76.1181094,43.04508644
"Thomas Lazzaro, PhD",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,,Syracuse,Onondaga,NY,13210,By appointment; call for availability,,,,,,,,,,,315-471-1642,,,,315-471-4757,,,,,"<p> Provides forensic services such as child custody, child abuse, sexual abuse, and competency evaluations.<br /> <br /> ==========================<br /> Therapist, Counselor, PhD, Psychologist, Thomas A. Lazzaro, Thomas A Lazzaro</p>",Onondaga and Oswego counties,,Individuals ages 16 years and older,NY 68 003867 (09/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,By appointment; call for information,Picture ID and proof of insurance,Family Counseling; Individual Counseling; Parent Counseling; Sexual Assault Counseling; Sex Offender Counseling; Adolescent/Youth Counseling; Substance Use Disorder Counseling; Psychological Assessment; Forensic Mental Health Evaluation; Home Based Mental Health Services; Psychological Assessment; Cognitive Behavioral Therapy; Conjoint Counseling; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.1181094,43.04508644
"Tracey Musarra Marchese, MSW, LCSW-R",31150003700000210010000000,31150003700000210010000000,2100 East Genesee Street,,Syracuse,Onondaga,NY,13210,"Monday - Friday, by appointment; call for availability",,,,,,,,,,,315-443-5576,,,,315-720-7379,,,,,"Provides mental health counseling to individuals ages 18 years and older.<br /><br />==============================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist","Cayuga, Onondaga, and Oswego counties",,Individuals ages 18 years and older,NY 73 076602 (09/17),Commercial,Private Practice,,Limited accessibility; call for details,Out-of-network provider for some insurances; call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Stress Management; Bereavement Counseling; Employment Transition Counseling; Geriatric Counseling; Sexual Assault Counseling; Eye Movement Desensitization and Reprocessing; Cognitive Behavioral Therapy; Behavior Modification; Private Counseling / Therapy; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Psychosocial Evaluation; Progressive Relaxation;,NY - Oswego County; NY - Onondaga County; NY - Cayuga County;,-76.1181094,43.04508644
"Lynne Odell, NPP, FNB-BC",31150003700000210430000000,31150003700000210430000000,133 Cambridge Street,,Syracuse,Onondaga,NY,13210,"Monday - Friday, 8 AM - 4 PM, by appointment",315-218-5963,Phone & Fax,,,,,,,,,,,,,,,chhhc@centralny.twcbc.com,,,"<p> Provides mental health services and medication management for children and adolescents (ages 4-18 years old) but is willing to work adults who already have a therapist.<br /> <br /> ====================================<br /> Therapist, Counselor, NPP, PNP, Psychiatric Nurse Practitioner, Psychiatry, <span style=color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10.6667px;>Comprehensive Holistic Health & House Calls</span></p>",Onondaga County,,Primarily individuals ages 3 - 18 years old; adults may be accepted if they already have a therapist,NY 33 332404 (10/15) (NP in Family Health) NY 40 400498 (10/16) (NP in Psychiatry),Commercial,Private Practice,,Limited accessibility; call for details,Call to verify insurance information and payment plan details,Appointment required; call for information,Proof of insurance,Family Counseling; Anger Management; Pain Management; Bereavement Counseling; Suicide Counseling; Sexual Assault Counseling; Stress Management; Cultural Transition Counseling; Parent Counseling; Adolescent/Youth Counseling; Psychological Assessment; Psychological Assessment; Clinical Psychiatric Evaluation; Psychiatric Disorder Counseling; Psychiatric Medication Services; Adult Psychiatry; Child and Adolescent Psychiatry; General Psychiatry; Geriatric Psychiatry; Behavior Modification; Cognitive Behavioral Therapy; Gestalt Therapy; Hypnotherapy; Psychodynamic Therapy; Rational Emotive Therapy; Private Counseling / Therapy; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling; Adolescent/Youth Counseling; Family Counseling;,NY - Onondaga County;,-76.11804852,43.04446628
"Alice Sterling Honig, PhD",31150003700000050240000000,31150003700000050240000000,317 Allen Street,,Syracuse,Onondaga,NY,13210,"Mornings, including Sundays; evenings available",,,,,,,,,,,315-443-4296,,,,315-472-1234,,,,,"Provides mental health counseling for individuals ages 4 years and older, specializing in traumatic divorce cases and school performance issues as well as partner difficulties, anxiety, depression, and anger issues.<br /><br />=================================<br />Therapist, Counselor, Psychologist, PhD",Onondaga and Oswego counties,,Individuals ages 4 years and older,NY 68 005837 (03/19),Commercial,Private Practice,,Limited Accessibility; call for details,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Bereavement Counseling; Cultural Transition Counseling; Employment Transition Counseling; Divorce Counseling; Parent Counseling; Anger Management; Marriage Counseling; Spiritual/Religious Issues Counseling; Stress Management; Sexual Assault Counseling; Psychological Assessment; Psychological Assessment; Behavior Modification; Cognitive Behavioral Therapy; Adolescent/Youth Counseling; Caregiver Counseling; Counseling for Children Affected by Domestic Violence; Spouse/Intimate Partner Abuse Counseling; Geriatric Counseling; Holocaust Counseling; Adult Child Sexual Abuse Counseling; Sexuality Counseling; Sexual Orientation Counseling; Meditation; Individual Counseling; Family Counseling; Perinatal/Postpartum Depression Counseling; Person Centered Therapy; Premarital Counseling; Psychodynamic Therapy; Psychosocial Therapy; Progressive Relaxation; Sexual/Love Addiction Counseling; Social Learning; Solution Focused Therapy; Comfort Items for Distressed Adults/Children; Music Therapy; Play Therapy; Poetry Therapy; Toy Assisted Therapy; Private Counseling / Therapy; In Person Crisis Intervention; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Family Counseling; Individual Counseling; Eclectic Therapy; Forensic Mental Health Evaluation; Health/Disability Related Counseling; Life Coaching; Infant and Early Childhood Mental Health; Psychosocial Evaluation; Reality Therapy;,NY - Onondaga County; NY - Oswego County;,-76.11674615,43.04649894
Boys and Girls Club of Syracuse,31150003700000070010000000,31150003700000070010000000,2100 East Fayette Street,,Syracuse,Onondaga,NY,13224,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-428-9807,,,,315-472-6714,,info@bgcsyracuse.org,www.bgcsyracuse.org/,"Private, Nonprofit",Offers youth development programs and services.,Onondaga County,,Children ages 6 through 19 years,,501(c)(3),Nonprofit - Unincorporated,"United Way, fund raisers, service fees",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.11358833,43.04765896
"Ruth Kutz, LCSW-R",31150005500000070020000000,31150005500000070020000000,806 Cumberland Avenue,,Syracuse,Onondaga,NY,13210,"Monday - Friday, 9 AM - 5 PM; by appointment",,,,,,,,,,,,,,,315-422-9462,,,,,"Provides mental health counseling to individuals ages 15 years and older.<br /><br />=========================================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, Ruth C Kutz, Ruth C. Kutz",Onondaga County,,Individuals ages 15 years and older,NY 73 016813 (09/16),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Individual Counseling; Family Counseling; Bereavement Counseling; Divorce Counseling; Marriage Counseling; Anger Management; Stress Management; Adolescent/Youth Counseling; Cultural Transition Counseling; Employment Transition Counseling; Gender Identity Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Sexual Assault Counseling; Eating Disorders Treatment; Conjoint Counseling; Cognitive Behavioral Therapy; Private Counseling / Therapy;,NY - Onondaga County;,-76.11344432,43.03013638
Cayuga Centers Onondaga and Oswego Offices,31150002400000010160000000,31150002400000010160000000,2507 James Street,Suite 204,Syracuse,Onondaga,NY,13206,"Open by appointment only, call for details",315-253-5383,Onondaga County Phone,315-299-7360,Onondaga County Fax,315-591-7004,Oswego County Phone,315-216-6259,Oswego County Fax,,,,,,,,,info@cayugacenters.org,http://cayugacenters.org/,,"Provides a variety of services for youth and their families including residential placement and treatment foster care, in-home family support and mental health intervention, Medicaid service coordination, and other services to assist individuals with developmental disabilities and their families.","Cayuga, Onondaga, and Oswego counties",,,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,,,,,NY - Cayuga County; NY - Onondaga County; NY - Oswego County;,-76.11207588,43.06883774
"Michele McMahon, LCSW-R",31150002400000010160000000,31150002400000010160000000,2507 James Street,Suite 206,Syracuse,Onondaga,NY,13206,"Monday - Friday evenings, by appointment; call for availability",,,,,,,,,,,,,,,315-256-3763,,,www.michelemcmahon.com,,"Provides mental health counseling to individuals ages 8 years and older.<br /><br />=============================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist",Onondaga County,,Individuals ages 8 years and older,NY 73 074919 (04/17),Commercial,Private Practice,,Limited Accessibility; call for details,Call to verify insurance information or sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Anger Management; Stress Management; Individual Counseling; Adolescent/Youth Counseling; Bereavement Counseling; Cultural Transition Counseling; Divorce Counseling; Gender Identity Counseling; Geriatric Counseling; Marriage Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Suicide Counseling; Sexual Assault Counseling; Substance Use Disorder Counseling; Cognitive Behavioral Therapy; Dialectical Behavior Therapy; Psychodynamic Therapy; Private Counseling / Therapy;,NY - Onondaga County;,-76.11207588,43.06883774
"Natalie Gordon, LMFT",31150002400000010160000000,31150002400000010160000000,2507 James Street,Suite 206,Syracuse,Onondaga,NY,13206,By appointment; call for hours of operation,,,,,,,,,,,,,,,315-449-0717,,,,,"Provides mental health counseling to individuals ages 13 years and older.<br /><br />===========================<br />Therapist, Counselor, Marriage and Family Therapist, LMFT",Onondaga and Oswego counties,,Individuals ages 13 years and older,NY 06 000018 (11/16),Commercial,Private Practice,,Limited Accessibility; call for details,Call to verify insurance information or sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Individual Counseling; Family Counseling; Anger Management; Divorce Counseling; Bereavement Counseling; Marriage Counseling; Adolescent/Youth Counseling; Gender Identity Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Psychodynamic Therapy; Rational Emotive Therapy; Conjoint Counseling; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.11207588,43.06883774
"Paul Honess, LCSW-R",31150002400000010160000000,31150002400000010160000000,2507 James Street,Suite 202,Syracuse,Onondaga,NY,13206,"Monday - Thursday, by appointment; call for availability",315-437-8780,Intake/ Appointment Information,315-437-1451,O'Brien's Billing (to verify insurance information),,,,,,,,,,,,,,,,"Provides mental health counseling to individuals ages 8 years and older.<br /><br />=============================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, Paul A Honess, Paul A. Honess",Onondaga County,,Individuals ages 8 years and older,NY 73 040987 (01/19),Commercial,Private Practice,,Fully Accessible,"Verify insurance coverage by calling O'Brien's Billing Service at 437-1451; out-of-network provider for some insurances; sliding scale available, call for details",Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Parent Counseling; Anger Management; Stress Management; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Bereavement Counseling; Divorce Counseling; Employment Transition Counseling; Geriatric Counseling; Marriage Counseling; Substance Use Disorder Counseling; Behavior Modification; Cognitive Behavioral Therapy; Rational Emotive Therapy; Private Counseling / Therapy; Conjoint Counseling;,NY - Onondaga County;,-76.11207588,43.06883774
"Rebecca King, MD",31150002400000010160000000,31150002400000010160000000,2507 James Street,Suite 206,Syracuse,Onondaga,NY,13206,"By appointment, Tuesday, Thursday, Friday, 8 AM - 8 PM; call for details",,,,,,,,,,,315-415-0607,,,,315-415-0607,,,www.rebeccakingMD.com,,"Provides mental health counseling and medication management for individuals ages five years and older.<br /><br />====================================<br />Therapist, Counselor, MD, Psychiatrist",Onondaga and Oswego counties,,Individuals ages five years and older,NY 68 014828 (11/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Adolescent/Youth Counseling; Anger Management; Stress Management; Bereavement Counseling; Marriage Counseling; Divorce Counseling; Parent Counseling; Suicide Counseling; Conjoint Counseling; Psychodynamic Therapy; Behavior Modification; Psychiatric Medication Services; Individual Counseling; Private Counseling / Therapy; Family Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adult Psychiatry; Child and Adolescent Psychiatry;,NY - Oswego County; NY - Onondaga County;,-76.11207588,43.06883774
Alcoholics Anonymous,31150002400000010160000000,31150002400000010160000000,2513 James Street,,Syracuse,Onondaga,NY,13206,"Administrative hours: Monday - Friday, 8:30 AM - 4:30 PMInformation available by phone 24 Hours / 7 DaysMeeting times vary by location; call or go online for details",,,,,,,,,,,315-463-6129,,,,315-463-5011,,syracuseservicecenter@gmail.com,www.aasyracuse.org,Mutual Support Group,Provides a fellowship of men and women who share their experiences with each other to solve their common problem and to help others recover from alcoholism. Primary purposes are to stay sober and to help others achieve sobriety through a 12-step process and peer sponsorship. Both closed (alcoholics only) and open meetings (anyone welcome) are available at varying locations and times. See website for current schedule of meetings and locations.,Onondaga and Oswego counties,,Anyone with a desire to stop drinking,,501(c)(3),Nonprofit - Unincorporated,Membership donations,Accessibility varies by location; call for details,None,Call for information and services,None,Alcohol Use Disorder Support Groups;,NY - Onondaga County; NY - Oswego County;,-76.11207588,43.06883774
Consortium for Children's Services,31150003600000030010000000,31150003600000030010000000,2122 Erie Boulevard East,,Syracuse,Onondaga,NY,13224,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-475-2622,,,,315-471-8331,,,www.childrensconsortium.org,"Private, Nonprofit","<p> Provides services to improve literacy, parenting skills, adult education, early childhood education, and professional development.<br /> <br /> =================================<br /> Children's Consortium</p>","Cayuga, Cortland, Madison, Onondaga, and Oswego counties",,No restrictions,,501(c)(3),Nonprofit - Incorporated,"Onondaga County and NYS Department of Social Services, Foundation Grants, Individual and Corporate Donations, Fundraising, United Way of Central New York",Fully Accessible,None,,,,NY - Onondaga County; NY - Madison County; NY - Oswego County; NY - Cayuga County; NY - Cortland County;,-76.11186367,43.05167979
Co-Dependents Anonymous,31150004400000030010000000,31150004400000030010000000,Saint Alban's Episcopal Church,1308 Meadowbrook Drive,Syracuse,Onondaga,NY,13224,"Meets Tuesday, 7 PM in St. Albans Church",315-446-3490,St. Alban's Church,315-463-6442,Jim S (Faciliator),,,,,,,,,,,,,,www.coda.org,,<p> A twelve-step program for men and women who are experiencing difficulties with their relationships but desire healthy and fulfilling relationships.</p>,Onondaga County and surrounding areas.,,Individuals experiencing difficulties with their relationships but desire healthy and fulfilling relationships,,501(c)(3),Voluntary association,,Call for information,None,Call for meeting information,None,Codependents Anonymous Support Groups;,NY - Oswego County; NY - Onondaga County;,-76.10776263,43.03922105
Michael J Willis and Associates,31150003800000140180010000,31150003800000140180010000,2833 East Genesee Street,,Syracuse,Onondaga,NY,13224,"Monday - Friday, by appointment; call for availability",,,,,,,,,,,,,,,315-446-6093,,mjwillisassociates@pobox.com,www.mjwillisassociates.com,,"Provides mental health counseling to individuals ages 18 years and older.<br /><br />==========================================<br />Therapist, Counselor, Mental Health Counselor, LMHC, Michael J. Willis & Associates, Michael J Willis & Associates, Michael Willis & Associates, Michael Willis and Associates",Onondaga and Oswego counties,,Individuals ages 18 years and older,LMHC - NY 18 000406 (06/17),Commercial,Private Practice,,Limited accessibility; call for details,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Individual Counseling; Substance Use Disorder Counseling; Stress Management; Employment Transition Counseling; Bereavement Counseling; Rational Emotive Therapy; Cognitive Behavioral Therapy; Behavior Modification; Private Counseling / Therapy; Critical Incident Stress Debriefing;,NY - Oswego County; NY - Onondaga County;,-76.10633723,43.04319941
Family Guidance Center,31150002700000250130000000,31150002700000250130000000,2207 Burnet Avenue,,Syracuse,Onondaga,NY,13206,"By appointment, Monday - Friday; call for hours of operation",,,,,,,,,,,315-428-8304,,,,315-428-8844,,,,,"Provides mental health counseling to individuals ages five years and older.<br /><br />==========================<br />Therapist, Counselor, Clinical Social Worker, LCSW, Kerry Paice, <span style=color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10.6667px;>CASAC, Drug Counselor, Alcohol Counselor, Substance Abuse Counselor, Psychiatric Nurse Practitioner, PNP</span>","Cayuga, Madison, Onondaga, and Oswego counties",,Individuals ages five years and older,,Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Family Counseling; Adolescent/Youth Counseling; Individual Counseling; Bereavement Counseling; Cultural Transition Counseling; Divorce Counseling; Employment Transition Counseling; Gender Identity Counseling; Geriatric Counseling; Marriage Counseling; Parent Counseling; Stress Management; Suicide Counseling; Anger Management; Terminal Illness Counseling; Sexual Orientation Counseling; Sexuality Counseling; Eating Disorders Treatment; Sexual Assault Counseling; Substance Use Disorder Counseling; Psychological Assessment; Gestalt Therapy; Psychological Assessment; Court Ordered DUI Evaluations; Behavior Modification; Cognitive Behavioral Therapy; Conjoint Counseling; Psychodynamic Therapy; Rational Emotive Therapy; Solution Focused Therapy; Private Counseling / Therapy; In Person Crisis Intervention; General Assessment for Substance Use Disorders; Caregiver Counseling; Eclectic Therapy; Health/Disability Related Counseling; Multimodal Therapy; Multisystemic Therapy; Perinatal/Postpartum Depression Counseling; Person Centered Therapy; Premarital Counseling; Psychiatric Disorder Counseling; Psychosocial Therapy; Progressive Relaxation; Critical Incident Stress Debriefing; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Social Phobia; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling;,NY - Onondaga County; NY - Madison County; NY - Oswego County; NY - Cayuga County;,-76.10542298,43.05861328
